단어,발음,주요뜻,메모,암기여부,저장날짜
opinionated,əpínjənèitid,의견을 고집하는|독단적인|자기주장을 고집하는,,미암기,2010-09-26 09:53:32
take to the hills,,도망치다|도주하여 숨다,,미암기,2010-09-25 21:54:51
fill in,,대리|기입|기입하다,,미암기,2010-09-25 16:42:58
circumcision,sə̀ːrkəmsíʒən,할례|심신의 정화|유대인,,미암기,2010-09-25 16:02:38
trash,træʃ,쓰레기|버리다|손상시키다|비난하다,,미암기,2010-09-23 21:35:18
approve,əprúːv,승인하다|허가하다|찬성하다|동의하다|인정하다,,미암기,2010-09-10 19:32:07
rape,reip,강간|강간하다|강탈,,미암기,2010-09-09 21:53:00
a bed of roses,,안락한 신세,,미암기,2010-09-08 23:51:16
high and low,,모든 계급의|모든 곳을,,미암기,2010-09-08 23:46:14
have it in for a person,,남에게 앙심을 품다|트집을 잡다,,미암기,2010-09-05 21:16:01
way,wei,방법|방식|길|방면|…점,,미암기,2010-09-05 21:01:03
mouthpiece,mauˈθpiˌs,입에 대는 부분|마우스피스|전화기의 송화구,,미암기,2010-09-05 19:46:12
stow,stou,타다|집어넣다|스토우,,미암기,2010-09-05 19:42:14
offhand,ɔˈfhæˈnd,준비 없이|부주의한|즉석에서,,미암기,2010-09-05 19:37:55
infatuated,infǽʧuèitid,미친|열중한|반한,,미암기,2010-09-05 14:00:05
befriend,bifrénd,친구가 되다|돕다|…을 돌봐주다,,미암기,2010-09-03 08:24:27
qualify,kwάləfài,자격을 갖추다|자격을 얻다|예선을 통과하다,,미암기,2010-09-02 23:06:05
audit,ɔ́ːdit,감사|단속|청강|세무조사,,미암기,2010-09-02 22:55:17
ploy,plɔi,상대의 콧대를 꺾는 책략|횡대에서 종대로 한다|취미,,미암기,2010-08-31 22:51:42
forsake,fərséik,버리다|그만두다|…을 저버리다,,미암기,2010-08-31 22:47:44
light,lait,빛|조명|밝게하다|광선|켜다,,미암기,2010-08-31 13:45:55
jiffy,dʒífi,지피|순간|일순,,미암기,2010-08-31 13:36:14
go back on,,취소 하다|지키지 않다|배신하다,,미암기,2010-08-29 19:07:22
give out,,정지하다|보내다|공표하다,,미암기,2010-08-29 18:57:22
give away,,거저 주다|누설하다|무너져 내리다,,미암기,2010-08-29 18:53:04
get the better of,,능가하다|…에 이기다|패배시키다,,미암기,2010-08-29 18:48:36
get going,,시작하다|행하다|빨리하다,"1)★★★★★
",미암기,2010-08-29 18:47:35
gain ground,,전진하다|진척되다|진보하다,,미암기,2010-08-29 18:41:31
